# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	1257
#@/user_id	579a2238-8d25-4c25-b893-3be8d0bff1ed
a 	啊	c=7 d=4.12363 t=1257
ai 	愛	c=3 d=1.78353 t=1257
an 	按	c=2 d=1.95072 t=1257
an 	暗	c=1 d=0.873716 t=1257
an zhuang 	安裝	c=1 d=0.980199 t=1257
ba 	吧	c=7 d=6.0709 t=1257
ba 	把	c=2 d=1.7128 t=1257
bai 	白	c=1 d=0.97531 t=1257
ban 	半	c=2 d=1.93124 t=1257
ban ben 	版本	c=0 d=0.0965605 t=1257
ban le 	搬了	c=0 d=0.0904837 t=1257
ban nian qian 	半年前	c=1 d=0.927743 t=1257
bang 	棒	c=1 d=0.941765 t=1257
bang ni 	幫你	c=0 d=0.0932394 t=1257
bao 	報	c=1 d=0.913931 t=1257
bao pi qi 	暴脾氣	c=1 d=0.995012 t=1257
bei 	被	c=1 d=0.955997 t=1257
ben lai 	本來	c=1 d=0.774916 t=1257
ben shi 	本事	c=0 d=0.0843665 t=1257
ben shu 	本書	c=0 d=0.0927743 t=1257
bi 	彼	c=1 d=0.99005 t=1257
bi 	比	c=3 d=1.96225 t=1257
bi ji ben 	筆記本	c=1 d=0.860708 t=1257
bi jiao shao 	比較少	c=0 d=0.0891366 t=1257
bi qi 	比起	c=2 d=1.6996 t=1257
bi ru 	比如	c=2 d=1.60404 t=1257
bi shu 	避暑	c=1 d=0.941765 t=1257
bi xu 	必須	c=1 d=0.965605 t=1257
bi zhi 	壁紙	c=1 d=0.839329 t=1257
bian 	邊	c=0 d=0.0960789 t=1257
bian hua 	變化	c=1 d=1 t=1257
bian jie 	便捷	c=0 d=0.0980199 t=1257
bian jie xing 	便捷性	c=1 d=0.985112 t=1257
bian liang 	變量	c=1 d=0.99005 t=1257
bian yi 	編譯	c=0 d=0.0951229 t=1257
bian yi hui zha 	編譯會炸	c=1 d=0.955997 t=1257
biao shi 	表示	c=1 d=0.955997 t=1257
biao ti 	標題	c=2 d=1.95084 t=1257
bing mei you 	並沒有	c=1 d=0.985112 t=1257
bu 	不	c=1 d=1.17634 t=1257
bu chong 	補充	c=1 d=0.959913 t=1257
bu da 	不大	c=0 d=0.0895834 t=1257
bu dui 	不對	c=1 d=0.453845 t=1257
bu dui 	部隊	c=1 d=0.918512 t=1257
bu gei 	補給	c=1 d=0.97531 t=1257
bu guan 	不管	c=1 d=1.0472 t=1257
bu guo 	不過	c=1 d=0.946485 t=1257
bu hao yong 	不好用	c=1 d=0.970446 t=1257
bu hui 	不會	c=2 d=1.85114 t=1257
bu jie 	不接	c=1 d=0.843665 t=1257
bu liao 	不了	c=1 d=1.05738 t=1257
bu man 	不滿	c=0 d=0.097531 t=1257
bu mang 	不忙	c=1 d=0.99005 t=1257
bu neng 	不能	c=2 d=1.76996 t=1257
bu neng yong 	不能用	c=1 d=0.941765 t=1257
bu ru 	不如	c=1 d=1.08709 t=1257
bu shang 	不上	c=0 d=0.071177 t=1257
bu shao 	不少	c=0 d=0.0995012 t=1257
bu shi 	不是	c=12 d=6.63857 t=1257
bu shi ni shuo 	不是你說	c=1 d=0.970446 t=1257
bu shu 	部署	c=1 d=0.865022 t=1257
bu tai 	不太	c=0 d=0.0752014 t=1257
bu tai yi yang 	不太一樣	c=1 d=0.755784 t=1257
bu tui jian 	不推薦	c=1 d=0.995012 t=1257
bu xi guan 	不習慣	c=1 d=0.946485 t=1257
bu xi huan 	不喜歡	c=1 d=0.913931 t=1257
bu xiang 	不想	c=0 d=0.0932394 t=1257
bu xiang kan 	不想看	c=1 d=0.932394 t=1257
bu xiang zhuang 	不想裝	c=1 d=0.937067 t=1257
bu xing 	不行	c=0 d=0.0995012 t=1257
bu yao 	不要	c=3 d=2.696 t=1257
bu yao qiu 	不要求	c=1 d=0.985112 t=1257
bu ye 	不也	c=1 d=0.99005 t=1257
bu yi yang 	不一樣	c=2 d=1.10863 t=1257
bu yong 	不用	c=1 d=0.913931 t=1257
bu zhi 	不止	c=1 d=1 t=1257
bu zhi chi 	不支持	c=1 d=0.960789 t=1257
bu zhi dao 	不知道	c=10 d=6.77098 t=1257
cai 	才	c=1 d=0.847894 t=1257
cai 	踩	c=2 d=1.95556 t=1257
ce shi 	測試	c=1 d=0.985112 t=1257
cha 	差	c=1 d=0.88692 t=1257
cha 	查	c=0 d=0.0937067 t=1257
cha bu duo 	差不多	c=1 d=0.511709 t=1257
cha jian 	插件	c=0 d=0.0941765 t=1257
cha jian ye mian 	插件頁面	c=1 d=0.946485 t=1257
chang 	長	c=0 d=0.097531 t=1257
chang lian jie 	長鏈接	c=1 d=0.980199 t=1257
cheng 	成	c=1 d=0.980199 t=1257
cheng 	澄	c=2 d=1.82746 t=1257
cheng du 	成都	c=2 d=1.59084 t=1257
cheng du 	程度	c=1 d=0.941765 t=1257
cheng fen 	成分	c=0 d=0.0913931 t=1257
cheng fen fu za 	成分複雜	c=1 d=0.918512 t=1257
cheng gong 	成功	c=1 d=0.99005 t=1257
cheng xu 	程序	c=2 d=1.32409 t=1257
chi 	吃	c=1 d=1.09622 t=1257
chi bu man 	吃不滿	c=1 d=0.980199 t=1257
chi fan 	吃飯	c=1 d=0.858028 t=1257
chi wan 	吃完	c=1 d=0.965605 t=1257
chi yi dun 	吃一頓	c=1 d=0.831104 t=1257
chong ding xiang 	重定向	c=1 d=0.465334 t=1257
chong dong 	衝動	c=1 d=0.985112 t=1257
chong gou 	重構	c=1 d=0.913931 t=1257
chong qi 	重啓	c=0 d=0.0955997 t=1257
chong qi guo le 	重啓過了	c=1 d=0.960789 t=1257
chong xin 	重新	c=0 d=0.097531 t=1257
chong xin da kai zhi hou 	重新打開之後	c=1 d=0.980199 t=1257
chou 	抽	c=1 d=0.88195 t=1257
chu 	出	c=0 d=0.0818731 t=1257
chu fa 	觸發	c=0 d=0.0955997 t=1257
chu fa tiao jian 	觸發條件	c=1 d=0.960789 t=1257
chu fei 	除非	c=1 d=0.472367 t=1257
chu lai 	出來	c=2 d=1.91652 t=1257
chu lai le 	出來了	c=1 d=0.985112 t=1257
chu le 	除了	c=1 d=0.891366 t=1257
chuan 	傳	c=1 d=0.918512 t=1257
chuang 	創	c=1 d=1 t=1257
chui zi 	錘子	c=1 d=0.951229 t=1257
chun ge 	春哥	c=1 d=0.97531 t=1257
ci da 	次大	c=0 d=0.0909373 t=1257
ci zhi 	辭職	c=1 d=0.99005 t=1257
cong 	從	c=5 d=3.3134 t=1257
cong tou 	從頭	c=1 d=0.869358 t=1257
cun zai 	存在	c=1 d=0.985112 t=1257
cuo 	錯	c=1 d=0.927743 t=1257
da 	打	c=0 d=0.0579842 t=1257
da chang 	大廠	c=3 d=2.62561 t=1257
da dao 	打到	c=1 d=0.66365 t=1257
da gai 	大概	c=1 d=0.937067 t=1257
da kai 	打開	c=2 d=1.8854 t=1257
da lao 	大佬	c=1 d=0.923116 t=1257
da tian xia 	打天下	c=1 d=0.927743 t=1257
da yi hang 	打一行	c=1 d=0.582748 t=1257
da yue jin 	大躍進	c=1 d=0.794534 t=1257
dai ma 	代碼	c=3 d=2.3655 t=1257
dan mei 	但沒	c=1 d=0.995012 t=1257
dan shi 	但是	c=16 d=7.43111 t=1257
dan shi wo xia ban le 	但是我下搬了	c=1 d=0.909373 t=1257
dan teng 	蛋疼	c=1 d=0.904837 t=1257
dang mian 	當面	c=0 d=0.0794534 t=1257
dang mian wen 	當面文	c=1 d=0.798516 t=1257
dang shi 	當時	c=1 d=0.970446 t=1257
dao 	到	c=4 d=2.63748 t=1257
dao shi hou 	到時候	c=1 d=0.941765 t=1257
de 	的	c=45 d=17.1042 t=1257
dei 	得	c=1 d=0.932394 t=1257
di ceng 	底層	c=0 d=0.0718924 t=1257
di er 	第二	c=0 d=0.0955997 t=1257
di er hua 	第二話	c=1 d=0.960789 t=1257
di liu 	第六	c=0 d=0.0980199 t=1257
di liu guan 	第六關	c=1 d=0.985112 t=1257
di san 	第三	c=0 d=0.0985112 t=1257
di san kuai 	第三塊	c=1 d=0.99005 t=1257
di tie 	地鐵	c=2 d=1.38536 t=1257
dian 	電	c=2 d=1.89842 t=1257
dian 	點	c=1 d=1.07628 t=1257
dian nao 	電腦	c=1 d=0.847894 t=1257
dian zhang 	店長	c=1 d=0.985112 t=1257
diao 	掉	c=1 d=0.831104 t=1257
diao xing 	調性	c=1 d=0.818731 t=1257
diao yong 	調用	c=3 d=1.85018 t=1257
ding shi 	定時	c=0 d=0.0937067 t=1257
ding shi cha 	定時查	c=1 d=0.941765 t=1257
dong 	動	c=0 d=0.0965605 t=1257
dong 	懂	c=1 d=0.97531 t=1257
dong xi 	東西	c=2 d=1.41051 t=1257
dou 	都	c=4 d=3.38019 t=1257
dou 	鬥	c=1 d=0.995012 t=1257
dou da 	都打	c=0 d=0.0637628 t=1257
dou da dao 	都打到	c=2 d=1.32469 t=1257
dou mei 	都沒	c=0 d=0.0960789 t=1257
dou mei dian 	都沒點	c=1 d=0.965605 t=1257
dou neng 	都能	c=1 d=0.99005 t=1257
dou shi 	都是	c=3 d=2.80144 t=1257
dou xi huan 	都喜歡	c=1 d=0.852144 t=1257
dou xing 	都行	c=2 d=1.91683 t=1257
dou zai 	都在	c=1 d=0.618783 t=1257
dou zhi kan 	都只看	c=1 d=0.814647 t=1257
duan kou 	端口	c=0 d=0.0980199 t=1257
duan kou ying she 	端口映射	c=1 d=0.985112 t=1257
duan shi jian 	段時間	c=0 d=0.0856415 t=1257
dui 	對	c=1 d=0.794534 t=1257
dui le 	對了	c=1 d=0.946485 t=1257
duo 	多	c=2 d=1.5846 t=1257
duo chu lai 	多出來	c=0 d=0.0806541 t=1257
duo chu lai de 	多出來的	c=1 d=0.810584 t=1257
duo le 	多了	c=0 d=0.0995012 t=1257
duo miao 	多秒	c=1 d=0.798516 t=1257
duo xia 	多下	c=1 d=0.99005 t=1257
en 	嗯	c=1 d=0.543351 t=1257
er jin zhi 	二進制	c=2 d=1.75698 t=1257
er qie 	而且	c=8 d=5.41056 t=1257
er xian 	二線	c=0 d=0.0856415 t=1257
fa 	發	c=1 d=0.951229 t=1257
fa xian 	發現	c=3 d=2.60101 t=1257
fa xian xin de 	發現新的	c=1 d=0.946485 t=1257
fan yi 	翻譯	c=1 d=0.97531 t=1257
fan zheng 	反正	c=2 d=1.7357 t=1257
fang 	放	c=1 d=0.995012 t=1257
fang wen 	訪問	c=0 d=0.0955997 t=1257
fang wen bu liao 	訪問不了	c=1 d=0.960789 t=1257
fei hua 	廢話	c=1 d=0.941765 t=1257
fei yao 	非要	c=1 d=0.878095 t=1257
fen bian lv 	分辨率	c=2 d=1.95551 t=1257
fen bu tu 	分佈圖	c=1 d=1 t=1257
fen fa 	分發	c=2 d=1.74821 t=1257
fen kai 	分開	c=0 d=0.0955997 t=1257
fen kuai 	分塊	c=2 d=1.93124 t=1257
feng di 	風笛	c=1 d=0.818731 t=1257
feng ge 	風格	c=0 d=0.0923116 t=1257
feng zhuang 	封裝	c=3 d=2.22624 t=1257
feng zhuang jie guo shi 	封裝結果是	c=1 d=0.767206 t=1257
fu pin 	扶貧	c=1 d=0.83527 t=1257
fu wu 	服務	c=1 d=0.813318 t=1257
fu wu qi 	服務器	c=1 d=0.865022 t=1257
fu za 	複雜	c=0 d=0.0913931 t=1257
gai 	改	c=1 d=0.640951 t=1257
gai de 	改的	c=1 d=0.960789 t=1257
gai hui qu 	改回去	c=0 d=0.0904837 t=1257
gai hui qu le 	改回去了	c=1 d=0.909373 t=1257
gan 	感	c=0 d=0.0913931 t=1257
gan jue 	感覺	c=6 d=4.43277 t=1257
gan sha 	幹啥	c=1 d=1.16763 t=1257
gan sha de 	幹啥的	c=1 d=0.97531 t=1257
gang 	剛	c=0 d=0.0927743 t=1257
gang shuo wan 	剛說完	c=1 d=0.932394 t=1257
gao 	搞	c=1 d=0.946485 t=1257
gao 	高	c=1 d=0.873716 t=1257
gao ding 	搞定	c=1 d=0.860708 t=1257
gao fei 	稿費	c=1 d=0.946485 t=1257
gao huai 	搞壞	c=1 d=0.995012 t=1257
gao zhe wan yi er 	搞這玩意兒	c=1 d=0.951229 t=1257
ge 	個	c=3 d=2.59234 t=1257
gei 	給	c=2 d=1.37707 t=1257
gei de shao 	給的少	c=1 d=0.826959 t=1257
gei ni 	給你	c=0 d=0.19362 t=1257
gei ni ge 	給你個	c=1 d=0.99005 t=1257
gei ni zhao de 	給你找的	c=1 d=0.985112 t=1257
geng 	更	c=0 d=0.0718924 t=1257
geng di ceng 	更底層	c=1 d=0.722527 t=1257
geng xin 	更新	c=2 d=1.78593 t=1257
geng xin zhi hou 	更新之後	c=1 d=0.941765 t=1257
geng zhong 	更重	c=1 d=0.918512 t=1257
gong yuan 	公園	c=1 d=0.99005 t=1257
gou tong 	溝通	c=0 d=0.0826959 t=1257
gou tong wen ti 	溝通問題	c=1 d=0.831104 t=1257
gou yong 	夠用	c=1 d=0.891366 t=1257
gou yuan 	夠遠	c=1 d=0.960789 t=1257
gu ding 	固定	c=1 d=0.923116 t=1257
gu ji 	估計	c=1 d=0.960789 t=1257
gu ji shi 	估計是	c=1 d=0.856415 t=1257
gua 	掛	c=0 d=0.0995012 t=1257
guai 	怪	c=0 d=0.0995012 t=1257
guai dao 	怪到	c=1 d=0.782705 t=1257
guan 	關	c=0 d=0.0980199 t=1257
guan dian 	觀點	c=0 d=0.0937067 t=1257
guan wang 	官網	c=0 d=0.0900325 t=1257
guan wang zhuang de 	官網裝的	c=1 d=0.904837 t=1257
guan xi 	關係	c=1 d=1.14483 t=1257
guan xi hao 	關係好	c=1 d=0.97531 t=1257
guan xi hao 	關係號	c=1 d=0.970446 t=1257
guang rong 	光榮	c=0 d=0.185086 t=1257
guang rong shi ming 	光榮使命	c=1 d=0.932394 t=1257
guang rong xing dong 	光榮行動	c=1 d=0.927743 t=1257
gun 	滾	c=1 d=0.941765 t=1257
guo 	過	c=0 d=0.253984 t=1257
guo duan shi jian 	過段時間	c=1 d=0.860708 t=1257
guo ji xiang qi 	國際象棋	c=1 d=0.99005 t=1257
guo le 	過了	c=0 d=0.0955997 t=1257
guo lu 	過路	c=1 d=1 t=1257
guo qi 	國企	c=1 d=1.00624 t=1257
guo qi 	過期	c=1 d=0.527695 t=1257
guo qi feng ge 	國企風格	c=1 d=0.927743 t=1257
hai 	還	c=5 d=2.80607 t=1257
hai bi jiao shao 	還比較少	c=1 d=0.895834 t=1257
hai bu zhi dao 	還不知道	c=1 d=0.965605 t=1257
hai hao 	還好	c=0 d=0.0995012 t=1257
hai mei 	還沒	c=0 d=0.0995012 t=1257
hai mei jin 	還沒進	c=1 d=1 t=1257
hai neng 	還能	c=1 d=0.839457 t=1257
hai shi 	還是	c=3 d=2.7846 t=1257
hai shi yin wei 	還是因爲	c=1 d=0.882497 t=1257
hai xie ma 	還寫嗎	c=1 d=0.99005 t=1257
hai xing 	還行	c=4 d=2.52602 t=1257
hai you 	還有	c=2 d=1.94107 t=1257
hai you zhe ge 	還有這個	c=1 d=0.941765 t=1257
hai zai 	還在	c=0 d=0.0759572 t=1257
